Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C32, C33, C4",0402,4,100n(5%),
"C10, C11, C12, C15, C16, C17, C18, C7, C8, C9",0402,10,1u(5%),
C2,0402,1,4.7u(5%),
C3,0402,1,10n(5%),
C34,0402,1,3.9p(5%),
D1,SOT-143,1,PRTR5V0U2X,
"D2, D3",LED_SML-P11UTT86R,2,SML-P11UTT86R,
"FB1, FB2",BEADC2112X105N,2,PE-0805FB121ST,
"IC1, IC2",SON40P200X200X80-11N,2,TLV75101PDSQR,
J1,SAMTEC_SHF-110-01-L-D-TH,1,SHF-110-01-L-D-TH,
J2,PinHeader_2x02_P1.27mm_Vertical,1,Conn_02x02_Counter_Clockwise,
J3,USB_C_Receptacle16P_Molex,1,USB_C_Receptacle16P,
J6,PinHeader_1x06_P1.27mm_Vertical,1,Conn_01x06_Pin,
Q1,NX138AKSX,1,NX138AKSX,
"R1, R2",0402,2,5k1(1%),
"R10, R8",0402,2,240k(1%),
R12,0402,1,0R(1%),
R13,0402,1,500k(1%),
"R3, R5",0402,2,750k(1%),
"R4, R6",0402,2,330k(1%),
"R7, R9",0402,2,1.2Meg(1%),
S2,SKRPABE010,1,SKRPABE010,
S3,PCM12SMTR,1,PCM12SMTR,
U10,XCVR_NINA-B306-00B,1,NINA-B306-00B,
U2,DBV0005A-IPC_A,1,TPS7A2018PDBVR,
